Month,Revenue ($),Foot Traffic (Visitors),E-commerce Orders (#),Product Category,Sales by Product Category ($),Social Media Platform,Campaign Type,Impressions,Engagements,Marketing Spend ($),Email Opens,Email Click-Throughs,Inventory Level (Units),Customer Source,Customer Feedback (Rating),Customer Gender,Customer Age,Customer Income ($),Bundling Indicator
1/8/2021,3000,500,12,Home Goods,2000,Facebook,Social Media,7519,50,100,265,78,100,Community,3,Female,60,60000,0
1/9/2021,5000,500,8,Accessories,8000,Facebook,Social Media,5860,1000,3000,255,199,100,Events,4,Female,40,40000,1
1/9/2021,7000,700,17,Clothing,8000,Facebook,Social Media,13038,50,2000,38,249,200,Events,2,Male,30,60000,0
1/9/2021,2000,500,7,Clothing,2000,Facebook,Email,4730,200,500,54,98,100,Community,5,Female,30,60000,1
1/10/2021,7000,500,12,Home Goods,2000,Email,Email,11853,200,100,27,212,200,Community,5,Female,30,60000,1
1/10/2021,3000,700,9,Clothing,5000,Instagram,Social Media,10306,500,500,401,142,200,Events,1,Female,40,60000,1
1/10/2021,2000,700,11,Accessories,2000,Email,Email,8107,200,2000,424,189,200,Social Media,5,Female,40,100000,0
1/10/2021,10000,500,9,Clothing,1000,Instagram,In-Store Event,11428,200,100,117,51,100,Events,4,Male,20,40000,0
1/11/2021,10000,500,7,Clothing,2000,Instagram,Email,9098,500,500,369,111,200,Community,3,Female,30,40000,0
1/11/2021,10000,300,21,Accessories,2000,LinkedIn,Email,12071,500,2000,208,134,100,Referral,3,Female,40,20000,1
1/11/2021,5000,300,5,Clothing,2000,LinkedIn,In-Store Event,4697,50,1000,74,111,50,Events,3,Female,30,20000,1
1/12/2021,2000,700,15,Clothing,1000,Instagram,Social Media,10076,200,2000,64,12,50,Community,5,Male,40,20000,0
1/12/2021,7000,300,7,Accessories,8000,Facebook,Networking Event,12387,200,2000,336,272,400,Social Media,3,Female,40,40000,0
1/12/2021,5000,500,12,Clothing,5000,Instagram,Email,14339,3000,100,355,232,50,Community,2,Female,40,60000,1
1/13/2021,3000,700,11,Accessories,1000,Facebook,Social Media,14419,200,2000,99,43,200,Social Media,3,Non-Binary,30,20000,0
1/13/2021,5000,300,11,Home Goods,5000,Email,Networking Event,5912,500,500,45,72,50,Social Media,4,Female,50,60000,0
1/13/2021,2000,700,12,Accessories,5000,LinkedIn,Social Media,4999,200,1000,315,260,100,Social Media,5,Female,20,40000,1
1/13/2021,10000,500,7,Clothing,8000,Facebook,In-Store Event,5409,500,2000,392,230,200,Social Media,4,Non-Binary,40,100000,0
1/14/2021,3000,1000,12,Clothing,1000,Instagram,Social Media,7669,50,500,428,32,50,Community,3,Female,60,60000,0
1/14/2021,7000,500,7,Accessories,2000,Facebook,Social Media,11594,50,3000,443,67,200,Events,3,Male,40,80000,0
1/14/2021,5000,700,8,Home Goods,8000,Instagram,Social Media,10321,500,1000,155,15,200,Social Media,3,Male,40,80000,1
1/15/2021,5000,700,4,Home Goods,8000,LinkedIn,Social Media,3762,200,100,239,149,100,Events,1,Female,20,80000,0
1/15/2021,5000,100,12,Home Goods,5000,Email,Email,9718,50,3000,352,291,100,Community,4,Male,50,60000,0
1/15/2021,3000,700,12,Clothing,5000,Facebook,Social Media,3489,500,1000,258,101,50,Social Media,2,Female,30,40000,0
1/16/2021,10000,1000,16,Clothing,1000,Instagram,Social Media,13808,3000,2000,434,185,100,Social Media,5,Female,40,60000,0
1/16/2021,7000,700,7,Clothing,5000,Instagram,Social Media,8154,200,1000,135,24,50,Social Media,4,Non-Binary,30,40000,0
1/16/2021,10000,700,12,Clothing,2000,Instagram,Networking Event,2724,500,2000,369,71,100,Social Media,5,Female,20,40000,0
1/16/2021,10000,1000,10,Clothing,1000,Email,Social Media,5876,3000,100,197,80,400,Social Media,5,Female,30,40000,0
1/17/2021,7000,300,9,Home Goods,8000,Facebook,In-Store Event,3420,1000,500,186,60,100,Referral,5,Male,30,40000,1
1/17/2021,10000,300,11,Clothing,1000,Instagram,Email,8201,500,1000,115,17,200,Community,2,Female,50,40000,1
1/17/2021,2000,700,8,Clothing,2000,Facebook,Social Media,7041,500,100,444,241,100,Events,5,Male,50,20000,1
1/18/2021,3000,500,13,Clothing,8000,Email,Networking Event,6115,50,2000,57,57,50,Social Media,4,Female,40,40000,1
1/18/2021,2000,700,11,Home Goods,1000,Instagram,Social Media,4815,500,1000,69,56,100,Social Media,4,Female,20,40000,0
1/18/2021,5000,1000,12,Accessories,8000,Email,Social Media,6600,200,500,92,96,200,Social Media,1,Male,30,40000,1
1/19/2021,5000,500,9,Accessories,8000,Email,Email,12960,200,100,228,214,50,Events,2,Male,40,80000,1
1/19/2021,3000,300,16,Home Goods,5000,LinkedIn,Social Media,3283,200,2000,395,11,200,Social Media,5,Female,20,40000,0
1/19/2021,10000,700,13,Clothing,1000,Instagram,Email,10105,50,2000,136,10,100,Events,3,Female,40,100000,0
1/19/2021,5000,500,9,Accessories,2000,Instagram,In-Store Event,13289,500,1000,104,162,50,Community,2,Female,20,20000,0
1/20/2021,3000,700,8,Clothing,2000,Instagram,Social Media,12340,500,1000,304,282,100,Social Media,3,Non-Binary,40,80000,0
1/20/2021,5000,500,16,Clothing,2000,Instagram,In-Store Event,14600,500,500,338,216,100,Social Media,5,Female,50,40000,0
1/20/2021,3000,700,13,Home Goods,2000,Instagram,Social Media,3308,50,2000,16,240,100,Social Media,3,Female,40,100000,0
1/21/2021,10000,100,11,Accessories,8000,Facebook,Social Media,3831,50,100,53,44,200,Social Media,5,Male,50,40000,1
1/21/2021,2000,700,6,Clothing,1000,Facebook,Social Media,2678,500,1000,111,80,200,Social Media,3,Female,50,60000,1
1/21/2021,10000,500,4,Clothing,5000,Email,In-Store Event,1297,3000,2000,171,254,200,Social Media,3,Female,40,20000,0
1/22/2021,7000,700,13,Accessories,1000,Instagram,In-Store Event,3346,50,3000,415,66,200,Social Media,3,Female,30,60000,0
1/22/2021,3000,300,5,Clothing,5000,Facebook,Email,1429,200,1000,418,101,400,Social Media,4,Female,30,40000,0
1/22/2021,2000,700,8,Clothing,8000,Email,Social Media,5318,1000,2000,461,90,400,Social Media,3,Male,50,60000,1
1/22/2021,10000,1000,10,Clothing,2000,Email,Social Media,3591,50,1000,304,41,50,Social Media,3,Non-Binary,40,60000,0
1/23/2021,7000,300,9,Clothing,1000,Email,Email,2762,1000,3000,437,275,100,Community,3,Female,50,100000,1
1/23/2021,7000,100,13,Home Goods,5000,Email,Social Media,10025,500,1000,143,273,50,Events,3,Male,40,60000,0
1/23/2021,7000,100,17,Clothing,5000,LinkedIn,In-Store Event,9966,200,1000,84,76,100,Events,4,Male,30,40000,0
1/24/2021,2000,700,8,Clothing,5000,Instagram,Social Media,13275,200,2000,11,233,400,Community,3,Male,60,40000,1
1/24/2021,5000,700,16,Accessories,2000,Facebook,Networking Event,8049,200,100,251,201,50,Community,1,Female,30,60000,0
1/24/2021,3000,500,5,Home Goods,2000,Instagram,Social Media,3980,200,500,215,220,200,Community,2,Female,60,20000,1
1/25/2021,10000,300,10,Clothing,8000,Instagram,Social Media,3842,1000,100,125,261,200,Events,3,Female,30,80000,0
1/25/2021,7000,500,7,Clothing,8000,Instagram,Email,6553,500,2000,97,38,50,Events,5,Male,30,40000,1
1/25/2021,5000,700,9,Clothing,2000,Instagram,Networking Event,8074,500,100,391,10,50,Community,3,Male,30,60000,0
1/25/2021,2000,500,6,Accessories,8000,Instagram,In-Store Event,8359,1000,2000,491,111,100,Events,1,Female,60,60000,0
1/26/2021,5000,1000,7,Accessories,2000,Instagram,Social Media,9909,200,1000,404,107,50,Community,3,Male,50,40000,0
1/26/2021,5000,300,6,Home Goods,2000,Instagram,Email,10156,500,100,303,93,100,Community,4,Female,50,60000,0
1/26/2021,7000,700,12,Home Goods,1000,LinkedIn,Email,13100,500,1000,391,83,100,Referral,4,Male,30,40000,0
1/27/2021,7000,500,10,Accessories,2000,Instagram,Email,4674,1000,500,27,57,100,Events,3,Male,20,20000,1
1/27/2021,10000,500,5,Accessories,5000,Email,Social Media,7647,200,2000,335,292,50,Events,4,Female,40,100000,1
1/27/2021,5000,700,7,Clothing,1000,Instagram,Networking Event,5270,500,2000,265,15,100,Social Media,4,Female,30,40000,0
1/28/2021,3000,700,5,Clothing,2000,LinkedIn,Email,6333,1000,1000,51,92,50,Social Media,2,Male,50,60000,0
1/28/2021,7000,1000,10,Home Goods,5000,Email,In-Store Event,8705,200,100,142,164,200,Events,2,Female,50,60000,1
1/28/2021,7000,300,7,Clothing,5000,Facebook,Social Media,7502,50,2000,131,214,100,Social Media,4,Male,30,60000,0
1/28/2021,7000,300,9,Clothing,5000,Facebook,Social Media,2793,500,2000,345,143,200,Community,4,Female,40,20000,1
1/29/2021,7000,700,11,Accessories,8000,Instagram,In-Store Event,2545,200,2000,206,273,200,Social Media,5,Non-Binary,50,60000,1
1/29/2021,5000,700,9,Clothing,1000,LinkedIn,Email,1537,500,2000,483,137,200,Events,3,Male,60,40000,1
1/29/2021,5000,500,10,Accessories,5000,Email,In-Store Event,6742,3000,500,479,203,100,Referral,4,Male,40,60000,0
1/30/2021,5000,100,12,Accessories,5000,Email,Email,12820,500,2000,61,209,50,Social Media,2,Male,50,100000,1
1/30/2021,2000,100,10,Clothing,5000,Facebook,Social Media,10151,500,1000,362,18,100,Events,5,Female,40,20000,0
1/30/2021,3000,1000,14,Home Goods,2000,Instagram,In-Store Event,8948,500,100,485,293,50,Community,4,Female,20,80000,0
1/31/2021,2000,300,10,Clothing,1000,Email,In-Store Event,12821,50,2000,131,292,400,Social Media,4,Male,30,40000,0
1/31/2021,7000,500,11,Clothing,8000,Instagram,Social Media,6662,200,3000,40,161,100,Social Media,2,Male,20,40000,0
1/31/2021,5000,300,8,Accessories,2000,Facebook,Social Media,4573,3000,2000,200,129,400,Community,1,Female,30,40000,0
1/31/2021,5000,500,12,Accessories,8000,Instagram,Networking Event,1783,500,500,98,43,200,Events,4,Female,20,40000,1
2/1/2021,10000,100,9,Accessories,5000,LinkedIn,In-Store Event,7232,50,500,310,82,50,Referral,2,Female,50,40000,0
2/1/2021,3000,500,7,Clothing,5000,Instagram,Email,6445,200,1000,283,123,200,Community,2,Non-Binary,40,40000,0
2/1/2021,5000,100,9,Accessories,8000,Instagram,In-Store Event,3987,500,2000,356,26,100,Events,2,Male,30,60000,1
2/2/2021,7000,700,13,Clothing,5000,Facebook,Social Media,2684,1000,500,46,6,50,Social Media,1,Female,30,20000,1
2/2/2021,3000,300,10,Home Goods,2000,Email,Social Media,9050,1000,2000,136,198,100,Social Media,4,Non-Binary,40,40000,0
2/2/2021,2000,500,11,Clothing,5000,Facebook,Social Media,12483,200,500,129,111,400,Events,3,Male,20,40000,1
2/3/2021,3000,1000,7,Accessories,8000,Instagram,Social Media,13541,3000,2000,194,88,100,Community,3,Female,30,80000,1
2/3/2021,3000,700,12,Clothing,2000,Instagram,In-Store Event,14390,500,3000,116,127,200,Events,3,Female,50,20000,0
2/3/2021,10000,500,14,Clothing,2000,Email,Social Media,3687,500,1000,363,229,100,Social Media,5,Female,40,100000,1
2/3/2021,10000,500,8,Clothing,1000,LinkedIn,In-Store Event,13191,500,1000,431,17,100,Events,5,Male,40,40000,0
2/4/2021,7000,500,9,Home Goods,8000,Email,Email,9917,50,2000,68,288,100,Social Media,3,Female,40,40000,1
2/4/2021,10000,700,10,Accessories,1000,Facebook,Networking Event,5995,3000,1000,457,160,100,Community,4,Non-Binary,30,40000,0
2/4/2021,10000,1000,9,Home Goods,5000,LinkedIn,In-Store Event,2797,50,2000,27,280,50,Social Media,3,Female,40,40000,0
2/5/2021,3000,700,15,Clothing,2000,Facebook,Social Media,7597,200,2000,334,165,100,Community,4,Non-Binary,40,80000,0
2/5/2021,10000,700,9,Clothing,2000,Facebook,Social Media,8969,1000,500,13,259,200,Community,4,Female,40,60000,0
2/5/2021,5000,700,19,Clothing,5000,Facebook,Social Media,12899,500,2000,45,189,50,Community,3,Non-Binary,30,40000,0
2/6/2021,10000,500,11,Home Goods,1000,Facebook,In-Store Event,10678,1000,500,470,265,400,Events,3,Male,50,20000,1
2/6/2021,10000,100,9,Clothing,5000,Email,In-Store Event,4044,500,3000,396,290,50,Events,4,Female,30,40000,0
2/6/2021,5000,700,11,Home Goods,5000,Facebook,Email,11485,200,500,15,278,100,Referral,5,Female,40,100000,0
2/6/2021,3000,1000,7,Home Goods,8000,Instagram,In-Store Event,7331,3000,2000,477,216,50,Events,5,Female,40,80000,0
2/7/2021,3000,300,9,Home Goods,1000,Instagram,Social Media,891,50,500,423,206,50,Events,4,Male,40,40000,1
2/7/2021,5000,700,9,Accessories,8000,Instagram,Email,1468,1000,1000,455,152,400,Community,3,Female,40,60000,1
2/7/2021,10000,300,12,Accessories,5000,Facebook,In-Store Event,10882,200,1000,208,180,200,Events,3,Male,20,80000,1
2/8/2021,10000,500,12,Accessories,8000,Instagram,Social Media,5651,1000,2000,157,211,200,Events,5,Male,30,60000,1
2/8/2021,2000,100,7,Clothing,2000,Instagram,In-Store Event,10920,50,1000,336,272,200,Community,2,Male,30,80000,0
2/8/2021,5000,500,10,Accessories,5000,Facebook,Email,11318,500,2000,226,202,200,Social Media,4,Non-Binary,20,60000,1
2/9/2021,5000,700,10,Clothing,8000,Facebook,Email,11537,1000,1000,448,204,200,Social Media,3,Male,30,40000,0
2/9/2021,3000,500,13,Clothing,8000,Email,Social Media,4864,500,2000,240,152,200,Referral,3,Female,40,60000,1
2/9/2021,3000,700,13,Clothing,2000,Facebook,Email,3807,500,2000,57,169,100,Social Media,3,Male,30,60000,0
2/9/2021,5000,700,6,Clothing,2000,Email,Networking Event,11292,1000,500,471,240,100,Referral,5,Female,30,60000,1
2/10/2021,10000,1000,11,Clothing,2000,LinkedIn,Email,11372,500,1000,303,286,200,Community,1,Female,40,40000,0
2/10/2021,5000,300,6,Clothing,2000,Email,Social Media,6625,3000,1000,304,244,50,Community,4,Female,60,60000,0
2/10/2021,5000,500,11,Accessories,2000,Facebook,Email,4870,200,1000,344,79,200,Referral,5,Female,50,40000,0
2/11/2021,7000,300,15,Clothing,2000,Instagram,Email,5338,200,1000,129,91,50,Community,5,Female,60,40000,0
2/11/2021,5000,1000,11,Accessories,8000,LinkedIn,Networking Event,8777,50,2000,216,148,200,Social Media,3,Female,40,60000,0
2/11/2021,10000,1000,10,Clothing,1000,Instagram,Email,3634,200,500,13,29,100,Social Media,4,Female,30,60000,0
2/12/2021,10000,500,8,Accessories,5000,Instagram,Social Media,13191,50,2000,358,122,100,Events,5,Female,40,60000,1
2/12/2021,3000,700,8,Accessories,1000,Facebook,In-Store Event,10931,500,3000,376,28,50,Community,3,Female,30,100000,0
2/12/2021,5000,500,7,Accessories,2000,Instagram,Social Media,12056,200,1000,242,258,200,Community,4,Male,20,60000,0
2/12/2021,5000,700,15,Accessories,1000,LinkedIn,In-Store Event,10737,50,2000,480,185,50,Social Media,3,Female,30,60000,1
2/13/2021,3000,100,7,Clothing,2000,Facebook,Email,1554,50,100,144,74,200,Social Media,1,Female,30,60000,0
2/13/2021,2000,700,12,Accessories,5000,Facebook,Email,12093,1000,2000,378,44,200,Social Media,3,Male,40,40000,1
2/13/2021,7000,300,13,Clothing,8000,Facebook,In-Store Event,4229,500,500,414,68,100,Events,4,Non-Binary,40,80000,0
2/14/2021,5000,700,13,Clothing,2000,Facebook,Networking Event,14942,200,2000,393,209,400,Events,4,Female,20,40000,0
2/14/2021,2000,700,12,Accessories,2000,Instagram,Social Media,14682,1000,3000,325,238,50,Events,1,Female,60,60000,0
2/14/2021,3000,700,16,Clothing,2000,Facebook,Social Media,3169,50,1000,102,191,200,Community,5,Male,40,40000,0
2/15/2021,10000,100,8,Accessories,8000,Email,Social Media,775,3000,2000,216,102,100,Social Media,3,Non-Binary,40,20000,1
2/15/2021,3000,500,7,Accessories,5000,Facebook,Email,13438,500,1000,357,240,50,Referral,4,Female,60,20000,0
2/15/2021,3000,500,7,Clothing,5000,Email,Networking Event,6217,200,100,420,252,50,Social Media,5,Male,20,60000,1
2/15/2021,5000,500,8,Clothing,5000,Instagram,Social Media,12782,500,2000,63,219,200,Community,3,Female,50,40000,0
2/16/2021,10000,100,13,Clothing,8000,Instagram,Social Media,9797,1000,100,157,216,400,Referral,4,Female,30,40000,1
2/16/2021,3000,1000,5,Home Goods,1000,Instagram,In-Store Event,14701,200,2000,161,201,50,Social Media,4,Female,40,60000,1
2/16/2021,7000,700,9,Accessories,2000,Instagram,Social Media,8522,1000,100,17,28,50,Events,4,Female,60,20000,0
2/17/2021,7000,500,7,Clothing,8000,Email,Email,8500,200,2000,215,211,400,Community,3,Female,40,40000,1
2/17/2021,3000,500,15,Clothing,5000,Email,In-Store Event,13373,200,500,318,153,50,Social Media,3,Female,20,40000,0
2/17/2021,7000,500,7,Accessories,5000,Instagram,Networking Event,11624,50,1000,48,230,100,Referral,4,Non-Binary,20,60000,0
2/18/2021,5000,700,4,Home Goods,5000,Facebook,Social Media,628,200,1000,55,101,100,Social Media,3,Non-Binary,30,60000,1
2/18/2021,7000,500,12,Clothing,2000,Email,Email,13043,200,1000,346,176,100,Community,3,Female,50,80000,0
2/18/2021,7000,1000,7,Clothing,5000,Instagram,Email,7577,3000,1000,57,180,200,Community,5,Non-Binary,30,40000,0
2/18/2021,5000,500,9,Home Goods,5000,Instagram,Social Media,4826,50,1000,154,231,400,Community,3,Female,30,40000,0
2/19/2021,2000,1000,13,Clothing,2000,LinkedIn,Social Media,4068,200,1000,54,11,100,Social Media,5,Male,50,20000,1
2/19/2021,10000,1000,8,Clothing,5000,Facebook,In-Store Event,13948,500,1000,486,185,200,Events,3,Non-Binary,20,100000,1
2/19/2021,5000,300,7,Home Goods,8000,LinkedIn,In-Store Event,8122,1000,1000,340,248,200,Community,4,Male,50,60000,1
2/20/2021,3000,1000,13,Accessories,1000,Instagram,In-Store Event,8580,3000,1000,18,265,100,Community,5,Male,30,60000,0
2/20/2021,2000,300,13,Clothing,2000,Email,Social Media,2902,1000,500,486,134,50,Social Media,5,Female,20,100000,1
2/20/2021,7000,700,11,Clothing,2000,Instagram,Networking Event,2147,3000,3000,150,244,200,Social Media,3,Female,20,40000,1
2/21/2021,7000,500,14,Clothing,5000,Instagram,Social Media,4056,1000,1000,358,30,100,Social Media,5,Female,60,40000,0
2/21/2021,2000,1000,13,Clothing,2000,Facebook,Email,12583,3000,500,367,258,50,Events,3,Female,40,60000,0
2/21/2021,5000,1000,12,Home Goods,5000,Instagram,Email,2693,500,1000,107,103,400,Events,1,Male,30,80000,1
2/21/2021,3000,700,7,Clothing,8000,Instagram,Social Media,10739,50,2000,46,0,200,Community,4,Non-Binary,40,60000,1
2/22/2021,7000,700,8,Accessories,2000,Instagram,In-Store Event,3604,200,100,206,206,400,Social Media,5,Female,40,80000,0
2/22/2021,3000,500,13,Home Goods,8000,Instagram,Email,4855,500,2000,362,134,100,Social Media,5,Non-Binary,30,60000,1
2/22/2021,7000,100,11,Clothing,8000,Email,Email,2634,200,1000,449,270,200,Community,2,Male,40,80000,0
2/23/2021,5000,500,9,Clothing,1000,Facebook,In-Store Event,9534,200,500,482,88,200,Social Media,4,Female,30,60000,1
2/23/2021,10000,300,12,Accessories,2000,Instagram,Email,10663,500,2000,434,194,400,Events,5,Female,20,40000,0
2/23/2021,3000,700,16,Home Goods,8000,Instagram,Networking Event,13052,3000,1000,339,121,400,Community,3,Female,40,60000,0
2/24/2021,5000,500,10,Home Goods,8000,Instagram,Social Media,4403,50,500,411,115,400,Community,4,Male,30,60000,0
2/24/2021,3000,1000,12,Clothing,1000,Facebook,Email,4113,1000,2000,127,195,400,Events,3,Female,60,60000,1
2/24/2021,10000,700,8,Accessories,1000,Instagram,In-Store Event,9083,500,2000,184,35,50,Social Media,3,Male,20,40000,0
2/24/2021,10000,700,11,Accessories,1000,Email,Email,2779,3000,2000,57,66,200,Social Media,4,Female,50,20000,1
2/25/2021,3000,300,9,Home Goods,8000,Instagram,Social Media,9592,3000,2000,142,132,100,Social Media,3,Non-Binary,30,40000,0
2/25/2021,7000,1000,14,Clothing,1000,Instagram,Email,13375,1000,2000,399,280,200,Referral,3,Male,50,100000,1
2/25/2021,10000,1000,11,Accessories,5000,Email,Email,11186,500,2000,96,10,400,Community,2,Female,20,40000,0
2/26/2021,7000,500,18,Home Goods,8000,Email,Email,1652,200,100,46,217,50,Community,4,Female,60,60000,0
2/26/2021,5000,700,10,Clothing,1000,Instagram,Email,1794,500,2000,190,155,100,Community,3,Male,20,60000,0
2/26/2021,3000,700,6,Clothing,5000,Email,Email,9157,1000,2000,139,239,200,Events,3,Male,50,80000,0
2/27/2021,2000,300,8,Clothing,2000,Facebook,Networking Event,5789,1000,100,102,59,100,Social Media,4,Male,40,80000,1
2/27/2021,10000,500,11,Clothing,8000,Email,Social Media,10867,1000,1000,230,137,50,Referral,2,Male,30,100000,0
2/27/2021,10000,500,9,Clothing,2000,Facebook,Social Media,3745,200,100,426,49,50,Events,5,Male,30,60000,0
2/27/2021,7000,300,5,Home Goods,5000,Facebook,Social Media,6568,500,2000,339,166,50,Social Media,3,Male,50,80000,0
2/28/2021,5000,500,12,Clothing,5000,LinkedIn,In-Store Event,13837,200,1000,412,164,200,Community,3,Male,30,40000,0
2/28/2021,5000,100,7,Clothing,2000,Instagram,In-Store Event,7216,50,3000,490,188,100,Social Media,2,Female,40,40000,0
2/28/2021,7000,100,8,Accessories,1000,Facebook,Networking Event,7154,200,500,48,91,50,Community,2,Female,30,80000,0
3/1/2021,10000,300,15,Clothing,2000,Facebook,In-Store Event,9179,50,2000,386,293,400,Referral,5,Female,60,40000,0
3/1/2021,10000,1000,14,Clothing,2000,Instagram,Social Media,3438,1000,500,111,288,200,Social Media,3,Female,40,80000,0
3/1/2021,7000,500,8,Accessories,8000,Instagram,Social Media,3126,200,2000,452,74,100,Community,4,Male,20,40000,0
3/2/2021,7000,1000,5,Home Goods,8000,Instagram,Social Media,1449,200,2000,315,44,100,Social Media,1,Female,30,40000,0
3/2/2021,2000,500,4,Accessories,2000,Facebook,Social Media,13193,3000,2000,321,52,200,Community,4,Male,20,40000,0
3/2/2021,3000,500,7,Accessories,5000,Facebook,Social Media,9741,200,2000,86,174,100,Social Media,5,Female,30,60000,1
3/2/2021,10000,500,8,Clothing,5000,Facebook,Social Media,13894,50,2000,381,160,200,Community,3,Non-Binary,30,20000,1
3/3/2021,7000,500,6,Home Goods,8000,Instagram,In-Store Event,4575,200,100,473,66,200,Social Media,4,Male,50,20000,0
3/3/2021,2000,300,19,Clothing,2000,Facebook,In-Store Event,13151,50,1000,281,269,50,Social Media,5,Female,50,80000,0
3/3/2021,3000,700,8,Accessories,2000,LinkedIn,Social Media,10082,50,2000,326,123,400,Social Media,4,Female,20,100000,0
3/4/2021,7000,300,8,Clothing,2000,Instagram,Networking Event,9775,50,1000,251,181,100,Social Media,1,Female,40,20000,1
3/4/2021,2000,700,7,Home Goods,5000,Facebook,Email,13338,500,500,73,181,100,Community,3,Male,30,60000,0
3/4/2021,3000,700,7,Accessories,2000,Email,Email,2158,200,1000,452,35,400,Social Media,1,Male,30,60000,1
3/5/2021,5000,300,12,Accessories,2000,Email,Social Media,13079,200,1000,46,211,100,Social Media,5,Female,20,40000,0
3/5/2021,7000,100,7,Clothing,1000,Facebook,Social Media,7432,1000,1000,75,133,200,Social Media,4,Male,40,60000,1
3/5/2021,7000,700,6,Clothing,5000,Email,Email,14748,200,2000,95,177,200,Referral,5,Female,60,60000,0
3/5/2021,3000,500,14,Accessories,2000,Instagram,In-Store Event,8553,3000,1000,425,165,50,Community,1,Female,30,60000,0
3/6/2021,7000,100,5,Accessories,1000,Email,Social Media,7459,500,100,30,45,400,Social Media,3,Non-Binary,30,80000,0
3/6/2021,3000,1000,8,Clothing,2000,Instagram,Social Media,2317,200,100,21,155,100,Social Media,2,Male,30,60000,0
3/6/2021,5000,100,13,Home Goods,2000,Instagram,Email,8882,1000,2000,16,235,100,Social Media,3,Male,60,40000,1
3/7/2021,7000,700,11,Home Goods,5000,Instagram,Email,960,50,3000,211,59,400,Events,2,Male,20,60000,1
